time,open,high,low,close,Volume,Volume MA,RSI,CCI,RVI,Histogram,MACD,Signal
2016-01-17T23:00:00Z,15961,16273,15445,16087,NaN,NaN,45.54628431326105,NaN,NaN,NaN,NaN,NaN
2016-01-24T23:00:00Z,16092,16454,15722,16449,NaN,NaN,49.857448478662825,-75.90252707581227,NaN,NaN,NaN,NaN
2016-01-31T23:00:00Z,16427,16509,15952,16196,NaN,NaN,47.053587868379736,-102.8728833012557,47.00773226334079,NaN,NaN,NaN
2016-02-07T23:00:00Z,16205,16269,15496,15972,NaN,NaN,44.658912253466134,-123.19384713404769,38.3711981033204,NaN,NaN,NaN
2016-02-14T23:00:00Z,16054,16549,16026,16394,NaN,NaN,49.838266327438795,-74.04150247763377,48.65004895767863,NaN,NaN,NaN
2016-02-21T23:00:00Z,16361,16843,16158,16612,NaN,NaN,52.32074810346978,-44.926267081819674,56.53139241821159,NaN,NaN,NaN
2016-02-28T23:00:00Z,16588,17061,16447,16991,NaN,NaN,56.36395795079371,-2.780030749652576,62.093564576183155,NaN,NaN,NaN
2016-03-06T23:00:00Z,16975,17223,16819,17191,NaN,NaN,58.370170536720906,22.17537680926306,66.47801407560667,NaN,-243.31335460083574,NaN
2016-03-13T22:00:00Z,17178,17606,17107,17584,NaN,NaN,62.06131552600452,67.62089986806781,71.55755707287595,NaN,-156.07513962608573,NaN
2016-03-20T22:00:00Z,17567,17637,17386,17549,NaN,NaN,61.53800429183323,67.34177510377307,60.12757642956459,NaN,-88.73949952192561,NaN
2016-03-27T22:00:00Z,17567,17804,17420,17795,NaN,NaN,63.84556135694185,88.91462394647122,66.74550609847618,NaN,-15.348448163713329,NaN
2016-04-03T22:00:00Z,17764,17838,17476,17573,NaN,NaN,60.32799669663483,66.85150955021578,55.796631044691544,NaN,24.617172680056683,NaN
2016-04-10T22:00:00Z,17574,17959,17492,17891,NaN,NaN,63.435620348294336,102.3220412150956,62.761107433365794,NaN,81.01625256984698,NaN
2016-04-17T22:00:00Z,17797,18162,17771,17999,NaN,NaN,64.4540151116591,112.41658314453113,67.70257603620257,NaN,132.8956883516512,NaN
2016-04-24T22:00:00Z,18011,18092,17654,17794,NaN,NaN,60.98205450772978,82.84151238310831,60.265576311632095,NaN,155.6742128148653,NaN
2016-05-01T22:00:00Z,17770,17918,17544,17751,NaN,NaN,60.24893718727554,71.5721753116205,55.26654286974113,161.7560089054415,168.31637058160413,6.560361676162655
2016-05-08T22:00:00Z,17777,17937,17508,17530,NaN,NaN,56.49011007441054,48.8640261626034,51.64098493249868,121.69045476771942,158.67343013581194,36.98297536809252
2016-05-15T22:00:00Z,17516,17762,17325,17506,NaN,NaN,56.08092313260252,45.71240985237832,48.8764953431528,88.3301362514706,147.39564568243077,59.06550943096017
2016-05-22T22:00:00Z,17512,17895,17457,17883,NaN,NaN,60.875132700051,77.74227902023416,51.91716325714282,86.31089348571426,166.954126288103,80.64323280238874
2016-05-29T22:00:00Z,17907,17932,17665,17811,NaN,NaN,59.53842339614845,65.54041902706578,48.76610498672743,75.19063082596887,174.63152133484982,99.44089050888095
2016-06-05T22:00:00Z,17797,18022,17789,17873,NaN,NaN,60.34589831647243,68.42215410372881,52.19442451030175,67.32916005112443,183.6023405727865,116.27318052166206
2016-06-12T22:00:00Z,17836,17904,17473,17668,NaN,NaN,56.34215221695612,39.33182709465542,48.64494442272586,44.72957517056686,172.18514948487064,127.45557431430377
2016-06-19T22:00:00Z,17791,18127,17286,17349,NaN,NaN,50.70463433570066,-14.093883449429136,44.27761365875305,6.699972051858595,135.830539379127,129.1305673272684
2016-06-26T22:00:00Z,17251,18002,17064,17966,NaN,NaN,59.206668386153865,90.3794678003464,49.391626187481506,20.71076980878769,155.01902958825303,134.30825977946535
2016-07-03T22:00:00Z,17943,18170,17712,18125,NaN,NaN,61.07003129235934,123.56962538465807,55.09503161145407,37.32931941205911,180.96990904453924,143.64058963248013
2016-07-10T22:00:00Z,18135,18579,18135,18455,NaN,NaN,64.67643466794112,198.59524958447255,61.931376433169916,65.53892496394934,225.56424583741682,160.02532087346748
2016-07-17T22:00:00Z,18528,18645,18478,18562,NaN,NaN,65.78327063237263,210.71734292073276,68.45403861628174,85.15407019268099,266.46790861431873,181.31383842163774
2016-07-24T22:00:00Z,18567,18610,18377,18457,NaN,NaN,63.67475785526473,159.83456676840038,57.05899234821826,84.63068778762712,287.10219815617165,202.47151036854453
2016-07-31T22:00:00Z,18473,18550,18255,18547,NaN,NaN,64.7186225311944,154.0600134215317,64.43177993470897,83.76385696830135,307.17633157892124,223.41247461061988
2016-08-07T22:00:00Z,18544,18649,18475,18581,NaN,NaN,65.12633534554215,136.8531652219598,70.49241097798141,78.96249609302399,322.1155947268999,243.15309863387589
2016-08-14T22:00:00Z,18590,18678,18476,18568,NaN,NaN,64.81790794252011,114.53590542375571,58.80135566336082,68.76734157364763,329.1122756009354,260.34493402728776
2016-08-21T22:00:00Z,18567,18644,18340,18398,NaN,NaN,60.765233308601225,70.88493670638398,50.18942118299612,45.54980063887308,317.2821848258791,271.732384187006
2016-08-28T22:00:00Z,18408,18553,18338,18497,NaN,NaN,62.24565232767105,79.90359658880237,54.26917621700854,32.45031640296486,312.29527969071205,279.8449632877472
2016-09-04T22:00:00Z,18516,18559,18025,18031,NaN,NaN,52.251465522740645,-6.8125977216883635,49.89980675798832,-9.75161019599608,267.6554505427521,277.40706073874816
2016-09-11T22:00:00Z,18023,18362,17905,18137,NaN,NaN,54.058427156537896,10.01101690855966,54.117051276505,-31.456159536532255,238.0868613180828,269.54302085461507
2016-09-18T22:00:00Z,18181,18458,18088,18281,NaN,NaN,56.46851923644077,33.4392159759671,58.27018161219834,-36.67879539459983,223.6945266113653,260.3733220059651
2016-09-25T22:00:00Z,18289,18376,18054,18287,NaN,NaN,56.57075045619139,29.25949501379195,62.121552240062094,-40.02034720067701,210.34788800511888,250.36823520579588
2016-10-02T22:00:00Z,18327,18347,18112,18238,NaN,NaN,55.42596816358739,12.327782295607323,56.07025705060329,-45.42645934170946,193.58516102865906,239.01162037036852
2016-10-09T22:00:00Z,18276,18406,17959,18137,NaN,NaN,53.043258450556,-15.224776215626841,50.44286012523042,-55.05818300075717,170.18889161942207,225.24707462017923
2016-10-16T22:00:00Z,18121,18260,18050,18153,NaN,NaN,53.38513207600004,-16.663333999866694,55.11768412632425,-59.24137182286606,151.19535984159666,210.4367316644627
2016-10-23T22:00:00Z,18171,18281,18062,18180,NaN,NaN,53.993844343726295,-14.539060322089083,58.727157138897326,-58.95321752272338,136.7452097610585,195.69842728378188
2016-10-30T22:00:00Z,18159,18234,17882,17900,NaN,NaN,47.12176595454484,-103.37333031469346,53.011102774619154,-75.33527398670716,101.52933480039792,176.86460878710508
2016-11-06T23:00:00Z,18091,18896,17482,18843,NaN,NaN,63.82211039832617,170.7041933468047,59.98431044954376,-23.086413954910938,148.00659134346643,171.09300529837736
2016-11-13T23:00:00Z,18904,18979,18817,18883,NaN,NaN,64.33663224503456,160.4195588462132,67.11069546378212,11.865271534579591,185.92459471660186,174.05932318202227
